service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1,1,1,1,1,1,0,0,20251111,20261231
10-2,1,1,1,1,1,1,1,20251111,20261231
10-3,1,1,1,1,1,0,0,20251111,20261231
10-4,1,1,1,1,1,1,1,20251111,20261231
10S-1,1,1,1,1,1,0,0,20251111,20261231
10S-2,1,1,1,1,1,0,0,20251111,20261231
11-1,1,1,1,1,1,0,0,20251111,20261231
11-2,1,1,1,1,1,0,0,20251111,20261231
11-3,1,1,1,1,1,0,0,20251111,20261231
11-4,0,0,0,0,0,1,1,20251111,20261231
11-5,0,0,0,0,0,1,1,20251111,20261231
11S-1,1,1,1,1,1,0,0,20251111,20261231
11S-2,1,1,1,1,1,0,0,20251111,20261231
11S-3,1,1,1,1,1,0,0,20251111,20261231
20-1,1,1,1,1,1,1,1,20251111,20261231
20-2,1,1,1,1,1,1,1,20251111,20261231
20A-1,1,1,1,1,1,0,0,20251111,20261231
20A-2,1,1,1,1,1,0,0,20251111,20261231
20A-3,1,1,1,1,1,0,0,20251111,20261231
20A-4,1,1,1,1,1,0,0,20251111,20261231
20B-1,1,1,1,1,1,0,0,20251111,20261231
21-1,1,1,1,1,1,0,0,20251111,20261231
21-2,1,1,1,1,1,0,0,20251111,20261231
21S-1,1,1,1,1,1,0,0,20251111,20261231
21S-2,0,0,0,0,0,1,1,20251111,20261231
21S-3,0,0,0,0,0,1,1,20251111,20261231
21S-4,1,1,1,1,1,0,0,20251111,20261231
21S-5,1,1,1,1,1,0,0,20251111,20261231
21S-6,1,1,1,1,1,0,0,20251111,20261231
21S-7,1,1,1,1,1,0,0,20251111,20261231
30-1,1,1,1,1,1,0,0,20251111,20261231
30-2,1,1,1,1,1,0,0,20251111,20261231
30-3,1,1,1,1,1,0,0,20251111,20261231
30-4,1,1,1,1,1,0,0,20251111,20261231
30-5,1,1,1,1,1,0,0,20251111,20261231
30-6,1,1,1,1,1,0,0,20251111,20261231
30-7,1,1,1,1,1,0,0,20251111,20261231
30-8,1,1,1,1,1,0,0,20251111,20261231
30-9,1,1,1,1,1,0,0,20251111,20261231
31-1,1,1,1,1,1,0,0,20251111,20261231
31-2,1,1,1,1,1,0,0,20251111,20261231
31-3,1,1,1,1,1,0,0,20251111,20261231
31-4,1,1,1,1,1,0,0,20251111,20261231
31-5,1,1,1,1,1,0,0,20251111,20261231
31-6,1,1,1,1,1,0,0,20251111,20261231
31-7,1,1,1,1,1,0,0,20251111,20261231
31-8,1,1,1,1,1,0,0,20251111,20261231
31-9,1,1,1,1,1,0,0,20251111,20261231
