service_id,date,exception_type
10-1,20250101,2
10-1,20250106,2
10-1,20250421,2
10-1,20250501,2
10-1,20250619,2
10-1,20250815,2
10-1,20251111,2
10-1,20251224,2
10-1,20251225,2
10-1,20251226,2
10-3,20250101,2
10-3,20250106,2
10-3,20250421,2
10-3,20250501,2
10-3,20250619,2
10-3,20250815,2
10-3,20251111,2
10-3,20251224,2
10-3,20251225,2
10-3,20251226,2
10S-1,20250101,2
10S-1,20250106,2
10S-1,20250421,2
10S-1,20250501,2
10S-1,20250619,2
10S-1,20250815,2
10S-1,20251111,2
10S-1,20251224,2
10S-1,20251225,2
10S-1,20251226,2
10S-2,20250101,2
10S-2,20250106,2
10S-2,20250421,2
10S-2,20250501,2
10S-2,20250619,2
10S-2,20250815,2
10S-2,20251111,2
10S-2,20251224,2
10S-2,20251225,2
10S-2,20251226,2
11-1,20250101,2
11-1,20250106,2
11-1,20250421,2
11-1,20250501,2
11-1,20250619,2
11-1,20250815,2
11-1,20251111,2
11-1,20251224,2
11-1,20251225,2
11-1,20251226,2
11-2,20250101,2
11-2,20250106,2
11-2,20250421,2
11-2,20250501,2
11-2,20250619,2
11-2,20250815,2
11-2,20251111,2
11-2,20251224,2
11-2,20251225,2
11-2,20251226,2
11-3,20250101,2
11-3,20250106,2
11-3,20250421,2
11-3,20250501,2
11-3,20250619,2
11-3,20250815,2
11-3,20251111,2
11-3,20251224,2
11-3,20251225,2
11-3,20251226,2
11-4,20250101,1
11-4,20250106,1
11-4,20250421,1
11-4,20250501,1
11-4,20250619,1
11-4,20250815,1
11-4,20251111,1
11-4,20251224,1
11-4,20251225,1
11-4,20251226,1
11-5,20250101,1
11-5,20250106,1
11-5,20250421,1
11-5,20250501,1
11-5,20250619,1
11-5,20250815,1
11-5,20251111,1
11-5,20251224,1
11-5,20251225,1
11-5,20251226,1
11S-1,20250101,2
11S-1,20250106,2
11S-1,20250421,2
11S-1,20250501,2
11S-1,20250619,2
11S-1,20250815,2
11S-1,20251111,2
11S-1,20251224,2
11S-1,20251225,2
11S-1,20251226,2
11S-2,20250101,2
11S-2,20250106,2
11S-2,20250421,2
11S-2,20250501,2
11S-2,20250619,2
11S-2,20250815,2
11S-2,20251111,2
11S-2,20251224,2
11S-2,20251225,2
11S-2,20251226,2
11S-3,20250101,2
11S-3,20250106,2
11S-3,20250421,2
11S-3,20250501,2
11S-3,20250619,2
11S-3,20250815,2
11S-3,20251111,2
11S-3,20251224,2
11S-3,20251225,2
11S-3,20251226,2
20A-1,20250101,2
20A-1,20250106,2
20A-1,20250421,2
20A-1,20250501,2
20A-1,20250619,2
20A-1,20250815,2
20A-1,20251111,2
20A-1,20251224,2
20A-1,20251225,2
20A-1,20251226,2
20A-2,20250101,2
20A-2,20250106,2
20A-2,20250421,2
20A-2,20250501,2
20A-2,20250619,2
20A-2,20250815,2
20A-2,20251111,2
20A-2,20251224,2
20A-2,20251225,2
20A-2,20251226,2
20A-3,20250101,2
20A-3,20250106,2
20A-3,20250421,2
20A-3,20250501,2
20A-3,20250619,2
20A-3,20250815,2
20A-3,20251111,2
20A-3,20251224,2
20A-3,20251225,2
20A-3,20251226,2
20A-4,20250101,2
20A-4,20250106,2
20A-4,20250421,2
20A-4,20250501,2
20A-4,20250619,2
20A-4,20250815,2
20A-4,20251111,2
20A-4,20251224,2
20A-4,20251225,2
20A-4,20251226,2
20B-1,20250101,2
20B-1,20250106,2
20B-1,20250421,2
20B-1,20250501,2
20B-1,20250619,2
20B-1,20250815,2
20B-1,20251111,2
20B-1,20251224,2
20B-1,20251225,2
20B-1,20251226,2
21-1,20250101,2
21-1,20250106,2
21-1,20250421,2
21-1,20250501,2
21-1,20250619,2
21-1,20250815,2
21-1,20251111,2
21-1,20251224,2
21-1,20251225,2
21-1,20251226,2
21-2,20250101,2
21-2,20250106,2
21-2,20250421,2
21-2,20250501,2
21-2,20250619,2
21-2,20250815,2
21-2,20251111,2
21-2,20251224,2
21-2,20251225,2
21-2,20251226,2
21S-1,20250101,2
21S-1,20250106,2
21S-1,20250421,2
21S-1,20250501,2
21S-1,20250619,2
21S-1,20250815,2
21S-1,20251111,2
21S-1,20251224,2
21S-1,20251225,2
21S-1,20251226,2
21S-2,20250101,1
21S-2,20250106,1
21S-2,20250421,1
21S-2,20250501,1
21S-2,20250619,1
21S-2,20250815,1
21S-2,20251111,1
21S-2,20251224,1
21S-2,20251225,1
21S-2,20251226,1
21S-3,20250101,1
21S-3,20250106,1
21S-3,20250421,1
21S-3,20250501,1
21S-3,20250619,1
21S-3,20250815,1
21S-3,20251111,1
21S-3,20251224,1
21S-3,20251225,1
21S-3,20251226,1
21S-4,20250101,2
21S-4,20250106,2
21S-4,20250421,2
21S-4,20250501,2
21S-4,20250619,2
21S-4,20250815,2
21S-4,20251111,2
21S-4,20251224,2
21S-4,20251225,2
21S-4,20251226,2
21S-5,20250101,2
21S-5,20250106,2
21S-5,20250421,2
21S-5,20250501,2
21S-5,20250619,2
