trip_id,stop_sequence,stop_id,arrival_time,departure_time
10-1,0,100,04:05:00,04:05:00
10-1,1,101,04:06:00,04:06:00
10-1,2,102,04:08:00,04:08:00
10-1,3,103,04:10:00,04:10:00
10-1,4,104,04:11:00,04:11:00
10-1,5,105,04:12:00,04:12:00
10-1,6,106,04:14:00,04:14:00
10-1,7,107,04:15:00,04:15:00
10-1,8,105,04:16:00,04:16:00
10-1,9,104,04:17:00,04:17:00
10-1,10,108,04:18:00,04:18:00
10-1,11,109,04:21:00,04:21:00
10-1,12,110,04:23:00,04:23:00
10-1,13,111,04:26:00,04:26:00
10-1,14,112,04:27:00,04:27:00
10-1,15,113,04:31:00,04:31:00
10-1,16,114,04:34:00,04:34:00
10-1,17,115,04:35:00,04:35:00
10-1,18,116-2,04:38:00,04:38:00
10-1,19,117-2,04:39:00,04:39:00
10-1,20,118-2,04:40:00,04:40:00
10-1,21,119-2,04:42:00,04:42:00
10-1,22,120,04:47:00,04:47:00
10-1,23,121,04:51:00,04:51:00
10-1,24,123,04:54:00,04:54:00
10-1,25,125,04:56:00,04:56:00
10-2,0,100,06:50:00,06:50:00
10-2,1,101,06:51:00,06:51:00
10-2,2,102,06:53:00,06:53:00
10-2,3,103,06:55:00,06:55:00
10-2,4,104,06:56:00,06:56:00
10-2,5,105,06:57:00,06:57:00
10-2,6,106,06:59:00,06:59:00
10-2,7,107,07:00:00,07:00:00
10-2,8,105,07:01:00,07:01:00
10-2,9,104,07:02:00,07:02:00
10-2,10,108,07:03:00,07:03:00
10-2,11,109,07:06:00,07:06:00
10-2,12,110,07:07:00,07:07:00
10-2,13,111,07:09:00,07:09:00
10-2,14,112,07:10:00,07:10:00
10-2,15,113,07:14:00,07:14:00
10-2,16,114,07:17:00,07:17:00
10-2,17,115,07:18:00,07:18:00
10-2,18,116-2,07:21:00,07:21:00
10-2,19,117-2,07:22:00,07:22:00
10-2,20,118-2,07:23:00,07:23:00
10-2,21,119-2,07:25:00,07:25:00
10-2,22,120,07:30:00,07:30:00
10-2,23,121,07:34:00,07:34:00
10-2,24,123,07:37:00,07:37:00
10-2,25,125,07:39:00,07:39:00
10-3,0,100,09:30:00,09:30:00
10-3,1,101,09:31:00,09:31:00
10-3,2,102,09:33:00,09:33:00
10-3,3,103,09:35:00,09:35:00
10-3,4,104,09:36:00,09:36:00
10-3,5,105,09:37:00,09:37:00
10-3,6,106,09:39:00,09:39:00
10-3,7,107,09:40:00,09:40:00
10-3,8,105,09:41:00,09:41:00
10-3,9,104,09:42:00,09:42:00
10-3,10,108,09:43:00,09:43:00
10-3,11,109,09:46:00,09:46:00
10-3,12,110,09:47:00,09:47:00
10-3,13,111,09:49:00,09:49:00
10-3,14,112,09:50:00,09:50:00
10-3,15,113,09:54:00,09:54:00
10-3,16,114,09:57:00,09:57:00
10-3,17,115,09:58:00,09:58:00
10-3,18,116-2,10:01:00,10:01:00
10-3,19,117-2,10:02:00,10:02:00
10-3,20,118-2,10:03:00,10:03:00
10-3,21,119-2,10:05:00,10:05:00
10-3,22,120,10:10:00,10:10:00
10-3,23,121,10:14:00,10:14:00
10-3,24,123,10:17:00,10:17:00
10-3,25,125,10:19:00,10:19:00
10-4,0,100,13:40:00,13:40:00
10-4,1,101,13:41:00,13:41:00
10-4,2,102,13:43:00,13:43:00
10-4,3,103,13:45:00,13:45:00
10-4,4,104,13:46:00,13:46:00
10-4,5,105,13:47:00,13:47:00
10-4,6,106,13:49:00,13:49:00
10-4,7,107,13:50:00,13:50:00
10-4,8,105,13:51:00,13:51:00
10-4,9,104,13:52:00,13:52:00
10-4,10,108,13:53:00,13:53:00
10-4,11,109,13:56:00,13:56:00
10-4,12,110,13:57:00,13:57:00
10-4,13,111,13:59:00,13:59:00
10-4,14,112,14:00:00,14:00:00
10-4,15,113,14:04:00,14:04:00
10-4,16,114,14:07:00,14:07:00
10-4,17,115,14:08:00,14:08:00
10-4,18,116-2,14:11:00,14:11:00
10-4,19,117-2,14:12:00,14:12:00
10-4,20,118-2,14:13:00,14:13:00
10-4,21,119-2,14:15:00,14:15:00
10-4,22,120,14:20:00,14:20:00
10-4,23,121,14:24:00,14:24:00
10-4,24,123,14:27:00,14:27:00
10-4,25,125,14:29:00,14:29:00
10S-1,0,100,15:50:00,15:50:00
10S-1,1,101,15:51:00,15:51:00
10S-1,2,102,15:53:00,15:53:00
10S-1,3,103,15:55:00,15:55:00
10S-1,4,104,15:56:00,15:56:00
10S-1,5,105,15:57:00,15:57:00
10S-1,6,106,15:59:00,15:59:00
10S-1,7,107,16:00:00,16:00:00
10S-1,8,105,16:01:00,16:01:00
10S-1,9,104,16:02:00,16:02:00
10S-1,10,108,16:03:00,16:03:00
10S-1,11,109,16:06:00,16:06:00
10S-1,12,110,16:07:00,16:07:00
10S-1,13,111,16:09:00,16:09:00
10S-1,14,112,16:10:00,16:10:00
10S-1,15,113,16:14:00,16:14:00
10S-2,0,100,18:12:00,18:12:00
10S-2,1,101,18:13:00,18:13:00
10S-2,2,102,18:15:00,18:15:00
10S-2,3,103,18:17:00,18:17:00
10S-2,4,104,18:18:00,18:18:00
10S-2,5,105,18:19:00,18:19:00
10S-2,6,106,18:21:00,18:21:00
10S-2,7,107,18:22:00,18:22:00
10S-2,8,105,18:23:00,18:23:00
10S-2,9,104,18:24:00,18:24:00
10S-2,10,108,18:25:00,18:25:00
10S-2,11,109,18:28:00,18:28:00
10S-2,12,110,18:29:00,18:29:00
10S-2,13,111,18:31:00,18:31:00
10S-2,14,112,18:32:00,18:32:00
10S-2,15,113,18:36:00,18:36:00
11-1,0,126,05:30:00,05:30:00
11-1,1,124,05:32:00,05:32:00
11-1,2,122,05:36:00,05:36:00
11-1,3,119,05:41:00,05:41:00
11-1,4,118,05:42:00,05:42:00
11-1,5,117,05:43:00,05:43:00
11-1,6,116,05:44:00,05:44:00
11-1,7,115,05:46:00,05:46:00
11-1,8,114,05:47:00,05:47:00
11-1,9,222,05:49:00,05:49:00
11-1,10,113-2,05:50:00,05:50:00
11-1,11,111,05:54:00,05:54:00
11-1,12,109,05:55:00,05:55:00
11-1,13,110,05:56:00,05:56:00
11-1,14,112,05:58:00,05:58:00
11-1,15,108,06:00:00,06:00:00
11-1,16,104,06:01:00,06:01:00
11-1,17,105,06:02:00,06:02:00
11-1,18,106,06:04:00,06:04:00
11-1,19,107,06:05:00,06:05:00
11-1,20,105,06:06:00,06:06:00
11-1,21,104,06:07:00,06:07:00
11-1,22,103,06:08:00,06:08:00
11-1,23,102,06:10:00,06:10:00
11-1,24,101,06:12:00,06:12:00
11-1,25,100,06:13:00,06:13:00
11-2,0,126,08:25:00,08:25:00
11-2,1,124,08:27:00,08:27:00
11-2,2,122,08:31:00,08:31:00
11-2,3,119,08:36:00,08:36:00
11-2,4,118,08:37:00,08:37:00
11-2,5,117,08:38:00,08:38:00
11-2,6,116,08:39:00,08:39:00
11-2,7,115,08:41:00,08:41:00
11-2,8,114,08:42:00,08:42:00
11-2,9,222,08:44:00,08:44:00
11-2,10,113-2,08:45:00,08:45:00
11-2,11,111,08:49:00,08:49:00
11-2,12,109,08:51:00,08:51:00
11-2,13,110,08:52:00,08:52:00
11-2,14,112,08:54:00,08:54:00
11-2,15,108,08:56:00,08:56:00
11-2,16,104,08:57:00,08:57:00
11-2,17,105,08:58:00,08:58:00
11-2,18,106,09:00:00,09:00:00
11-2,19,107,09:01:00,09:01:00
11-2,20,105,09:02:00,09:02:00
11-2,21,104,09:03:00,09:03:00
11-2,22,103,09:04:00,09:04:00
11-2,23,102,09:06:00,09:06:00
11-2,24,101,09:08:00,09:08:00
11-2,25,100,09:09:00,09:09:00
11-3,0,126,12:42:00,12:42:00
11-3,1,124,12:44:00,12:44:00
11-3,2,122,12:48:00,12:48:00
11-3,3,119,12:53:00,12:53:00
11-3,4,118,12:54:00,12:54:00
11-3,5,117,12:55:00,12:55:00
11-3,6,116,12:56:00,12:56:00
11-3,7,115,12:58:00,12:58:00
11-3,8,114,12:59:00,12:59:00
11-3,9,222,13:01:00,13:01:00
11-3,10,113-2,13:02:00,13:02:00
11-3,11,111,13:06:00,13:06:00
11-3,12,109,13:08:00,13:08:00
11-3,13,110,13:09:00,13:09:00
11-3,14,112,13:11:00,13:11:00
11-3,15,108,13:13:00,13:13:00
11-3,16,104,13:14:00,13:14:00
11-3,17,105,13:15:00,13:15:00
11-3,18,106,13:17:00,13:17:00
11-3,19,107,13:18:00,13:18:00
11-3,20,105,13:19:00,13:19:00
11-3,21,104,13:20:00,13:20:00
11-3,22,103,13:21:00,13:21:00
11-3,23,102,13:23:00,13:23:00
11-3,24,101,13:25:00,13:25:00
11-3,25,100,13:26:00,13:26:00
11-4,0,126,17:20:00,17:20:00
11-4,1,124,17:22:00,17:22:00
11-4,2,122,17:26:00,17:26:00
11-4,3,119,17:31:00,17:31:00
11-4,4,118,17:32:00,17:32:00
11-4,5,117,17:33:00,17:33:00
11-4,6,116,17:34:00,17:34:00
11-4,7,115,17:36:00,17:36:00
11-4,8,114,17:37:00,17:37:00
11-4,9,222,17:39:00,17:39:00
11-4,10,113-2,17:40:00,17:40:00
11-4,11,111,17:44:00,17:44:00
11-4,12,109,17:46:00,17:46:00
